,RandSimilar,MajorityVote,RandDifferent,MinorityVote,MajorCNN,MinorCNN,MajorWavelet,MinorWavelet,MajorJzAzBz,MinorJzAzBz,MajorRGB,MinorRGB,MajorIsBenchmark,MinorIsBenchmark
25,314877,13,173416,4,0.7065937520458349,0.46795468606784457,0.4417467025020821,0.7879930555983822,0.562265961431655,0.8144939284123962,0.605515475468665,0.6507183685981786,False,False
26,421909,8,175203,1,0.7686693860945579,0.7033427926988127,0.9909112865844888,0.5719113399907523,0.5935366182674846,0.583857402034037,0.44721229251166755,0.45918926602885285,True,True
27,331236,6,177247,5,0.5629337131063532,0.7147828784943832,0.8431037875383374,0.2891376651107131,0.6211471390456955,0.3797165375002151,0.4311782181655645,0.5779672878723824,True,False
28,61476,3,177789,2,0.4547548554494939,0.6673555896333192,0.8467444345004531,0.24758535545972504,0.6850615799299642,0.5908304418357505,0.4330795621212868,0.675995223044884,False,False
29,627438,5,177804,2,0.769858945403859,0.5807888708462222,0.476787282307183,0.4467906104597359,0.40247957257088746,0.6478867454270159,0.5394722377108885,0.6572672817829518,False,False
30,129473,7,17955,2,0.4830857755182815,0.6380616669527533,0.9052348312181062,0.3503829118139938,0.41909628125614073,0.5553442354441064,0.30687503155745044,0.5551969416841658,False,False
31,184779,9,156542,4,0.6890701009133621,0.8049051842827737,0.8596034253819581,0.49854818142296803,0.7690546781124695,0.4658761636147664,0.34016935941090953,0.5873134564326727,True,False
32,191335,8,286103,5,0.46734551269327945,0.7867512425658553,0.9041107379989802,0.46863554080179165,0.43641541316390775,0.4399266334435809,0.47057077499660216,0.43713744897567003,False,False
33,365890,11,197775,1,0.25861336526822887,0.6797162149576488,0.9028334377324347,0.38338716585094795,0.6018155053702645,0.5828057095689165,0.4074779841509191,0.5418433661768708,False,False
34,199041,16,702965,0,0.6025706705619133,0.7348977037606469,0.7132519237008379,0.14445619612471644,0.6405810337067305,0.4506139625604648,0.4601970187547554,0.6937647102360924,True,False
35,20056,13,527035,11,0.4642335963052749,0.6277648062139286,0.8699807822524098,0.8428213134732927,0.5842015977447002,0.427342211200234,0.38555174076151894,0.36687205087413544,False,True
36,644167,7,214176,5,0.2976952108268237,0.5965793673224105,0.8940617210775997,0.361708262581377,0.6337292486400398,0.6834947952538688,0.4628547491020045,0.6681703134605306,False,False
37,64820,10,218126,0,0.8435984264090134,0.3601381577900528,0.9814553181814867,0.9056601969247984,0.5213229915483893,0.8296552057335247,0.13911112948405596,0.4949294497370331,True,False
38,760463,8,220884,3,0.7111288057876288,0.7414107112224002,0.38656565647094154,0.4622390339096994,0.5397125889903116,0.6004123180454013,0.62496947964942,0.5709886617218072,False,False
39,366326,14,220984,2,0.34373041613397526,0.7451588669173144,0.941085240806152,0.3788816976208458,0.7185777609791089,0.40851777784408194,0.4934968764538536,0.4888224491801937,False,False
40,39081,13,22671,0,0.487487142959103,0.6789222782041267,0.9019235319117965,0.28028124633567286,0.614488201587224,0.4716458201024612,0.2904268237383386,0.6409695486878227,False,False
41,231915,8,978217,2,0.45860171750811973,0.294153707801491,0.8644462132505417,0.8190588219142254,0.5308487213187962,0.8710163704099028,0.31508229541246996,0.5925387768520248,False,False
42,220884,6,235167,4,0.7414107112224002,0.8067920551624588,0.4622390339096994,0.4453178233636702,0.6004123180454013,0.5373374102916318,0.5709886617218072,0.5728175907810316,False,False
43,235362,12,171890,1,0.811426947502009,0.5870287814652485,0.4825792416691824,0.3027984506847416,0.5143282783189461,0.5789615482440876,0.527351769411816,0.7383595622083208,False,False
44,235796,12,601863,7,0.6348801704029133,0.31299445638915174,0.660166584035266,0.7674080094004576,0.4996479832550236,0.6575677909875571,0.4689892701822609,0.47918487874808247,True,False
